Id,Label,io,iob,year,field,field2,type,polygon_field,color_field,polygon_io,color_io,color_io2,polygon
1034,UN2007HRCres52,UN,HRC,2007,NonHR,,Res,,#c7c7c7,,#1f77b4,#7edff1,0
1035,UN2007HRCres68,UN,HRC,2007,EcoSoc,,Res,5,#ff7f0e,,#1f77b4,#7edff1,0
1036,UN2007Res62140,UN,UNGA,2007,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
1037,UN2007Res62141,UN,UNGA,2007,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
1038,UN2007Res62149,UN,UNGA,2007,Civil,JustSys,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1039,UN2007Res62158,UN,UNGA,2007,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1040,UN2007Res62172,UN,UNGA,2007,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
1041,UN2007Res62173,UN,UNGA,2007,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1042,UN2007Res62174,UN,UNGA,2007,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1043,UN2007Res62175,UN,UNGA,2007,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1044,UN2007Res62202,UN,UNGA,2007,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
1045,UN2007Res6261,UN,UNGA,2007,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
1046,UN2007Res6288,UN,UNGA,2007,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
1047,UN2008GenComCCPR33,UN,CCPR,2008,Institution,,GenCom,,#9467bd,,#1f77b4,#2a2a24,3
1048,UN2008GenRecCEDAW26,UN,CEDAW,2008,Discrimination,Migrate,GenRec,6,#d62728,,#1f77b4,#94290f,3
1049,UN2008HRCouncRes729,UN,HRC,2008,Discrimination,Children,Res,6,#d62728,,#1f77b4,#7edff1,0
1050,UN2008HRCres722,UN,HRC,2008,EcoSoc,Living,Res,5,#ff7f0e,,#1f77b4,#7edff1,0
1051,UN2008HRCres723,UN,HRC,2008,Community,Enviro,Res,7,#8c564b,,#1f77b4,#7edff1,0
1052,UN2008HRCres91,UN,HRC,2008,Community,Enviro,Res,7,#8c564b,,#1f77b4,#7edff1,0
1053,UN2008OPConvEcoSocCul,UN,UNGA,2008,EcoSoc,EcoSoc,OP,5,#ff7f0e,,#1f77b4,#1144a3,0
1054,UN2008Res63168,UN,UNGA,2008,Civil,JustSys,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1055,UN2008Res63169,UN,UNGA,2008,Political,,Res,3,#e377c2,,#1f77b4,#1144a3,0
1056,UN2008Res63193,UN,UNGA,2008,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1057,UN2008Res63194,UN,UNGA,2008,Civil,Traffick,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1058,UN2008Res63195,UN,UNGA,2008,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1059,UN2008Res63196,UN,UNGA,2008,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
1060,UN2008Res63226,UN,UNGA,2008,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
